2019-01-05 22:07:00.773382,time,altitude,velocity,acceleration
2019-01-05 22:07:00.816162,2.72,207.232565078,92.1367584644,-13.0293786069
2019-01-05 22:07:00.816267,2.76,210.918035417,91.6155833201,-13.0512935692
2019-01-05 22:07:00.816370,2.8,214.58265875,91.0935315774,-13.0680959417
2019-01-05 22:07:00.816474,2.84,218.226400013,90.5708077397,-13.0236875252
2019-01-05 22:07:00.816577,2.88,221.849232322,90.0498602387,-12.9020035284
2019-01-05 22:07:00.816689,2.92,225.451226732,89.5337800975,-12.8634541339
2019-01-05 22:07:00.816785,2.96,229.032577936,89.0192419322,-13.045976714
2019-01-05 22:07:00.816883,3.0,232.593347613,88.4974028636,-13.1382285617
2019-01-05 22:07:00.816984,3.04,236.133243728,87.9718737212,-13.1887662266
2019-01-05 22:07:00.817083,3.08,239.652118677,87.4443230721,-13.3817952554
2019-01-05 22:07:00.817180,3.12,243.149891599,86.9090512619,-13.3211598053
2019-01-05 22:07:00.817277,3.16,246.62625365,86.3762048697,-13.3835584192
2019-01-05 22:07:00.817375,3.2,250.081301845,85.8408625329,-13.3909868862
2019-01-05 22:07:00.817471,3.24,253.514936346,85.3052230575,-13.3476469681
2019-01-05 22:07:00.817570,3.28,256.927145268,84.7713171787,-13.3045961805
2019-01-05 22:07:00.817665,3.32,260.317997955,84.2391333315,-13.2620678279
2019-01-05 22:07:00.817764,3.36,263.687563289,83.7086506184,-13.2198947609
2019-01-05 22:07:00.817859,3.4,267.035909313,83.179854828,-13.1781566302
2019-01-05 22:07:00.817955,3.44,270.363103507,82.6527285627,-13.1369564902
2019-01-05 22:07:00.818052,3.48,273.669212649,82.1272503031,-13.0960639238
2019-01-05 22:07:00.818150,3.52,276.954302661,81.6034077462,-13.0555633521
2019-01-05 22:07:00.818246,3.56,280.218438971,81.0811852121,-13.0154284514
2019-01-05 22:07:00.818347,3.6,283.46168638,80.560568074,-12.975672187
2019-01-05 22:07:00.818443,3.64,286.684109102,80.0415411866,-12.9362608763
2019-01-05 22:07:00.818539,3.68,289.88577075,79.5240907515,-12.8971226993
2019-01-05 22:07:00.818635,3.72,293.06673438,79.0082058435,-12.8584468738
2019-01-05 22:07:00.818736,3.76,296.227062614,78.4938679686,-12.8200277128
2019-01-05 22:07:00.818830,3.8,299.366817332,77.9810668601,-12.7819186706
2019-01-05 22:07:00.818928,3.84,302.486060007,77.4697901133,-12.7441234499
2019-01-05 22:07:00.819097,3.88,305.584851611,76.9600251753,-12.7066229214
2019-01-05 22:07:00.819209,3.92,308.663252618,76.4517602584,-12.6694330915
2019-01-05 22:07:00.819305,3.96,311.721323029,75.9449829347,-12.6325311525
2019-01-05 22:07:00.819401,4.0,314.759122346,75.4396816886,-12.5959138748
2019-01-05 22:07:00.819496,4.04,317.776709614,74.9358451337,-12.559565033
2019-01-05 22:07:00.819592,4.08,320.774143419,74.4334625323,-12.5235282004
2019-01-05 22:07:00.819688,4.12,323.75148192,73.9325214043,-12.4877552326
2019-01-05 22:07:00.819783,4.16,326.708782776,73.433011195,-12.4522409219
2019-01-05 22:07:00.819878,4.2,329.646103224,72.9349215581,-12.4170293608
2019-01-05 22:07:00.819974,4.24,332.563500087,72.4382403837,-12.3820809912
2019-01-05 22:07:00.820068,4.28,335.461029702,71.9429571441,-12.3473976769
2019-01-05 22:07:00.820164,4.32,338.338747988,71.449061237,-12.3129523833
2019-01-05 22:07:00.820306,4.36,341.196710437,70.9565431416,-12.2788600331
2019-01-05 22:07:00.820434,4.4,344.034972163,70.4653887403,-12.244979497
2019-01-05 22:07:00.820709,4.44,346.853587712,69.9755895604,-12.2113616369
2019-01-05 22:07:00.820891,4.48,349.652611295,69.487135095,-12.1780572011
2019-01-05 22:07:00.820998,4.52,352.432096699,69.0000128069,-12.1450056211
2019-01-05 22:07:00.821103,4.56,355.192097211,68.5142125821,-12.1121841296
2019-01-05 22:07:00.821203,4.6,357.932665714,68.0297252169,-12.0797170461
2019-01-05 22:07:00.821298,4.64,360.653854723,67.5465365351,-12.0474911445
2019-01-05 22:07:00.821394,4.68,363.355716184,67.0646368893,-12.0155284534
2019-01-05 22:07:00.821489,4.72,366.03830166,66.5840157511,-11.9838365523
2019-01-05 22:07:00.821584,4.76,368.70166229,66.104662289,-11.9523999837
2019-01-05 22:07:00.821684,4.8,371.345848782,65.6265662897,-11.9212897068
2019-01-05 22:07:00.821779,4.84,373.970911433,65.1497147014,-11.8904066003
2019-01-05 22:07:00.821874,4.88,376.576900021,64.6740984374,-11.8598678758
2019-01-05 22:07:00.821968,4.92,379.163863959,64.1997037224,-11.8295700014
2019-01-05 22:07:00.822098,4.96,381.731852108,63.7265209223,-11.7995573838
2019-01-05 22:07:00.822204,5.0,384.280912944,63.254538627,-11.7697997933
2019-01-05 22:07:00.822347,5.04,386.81109449,62.7837466352,-11.7403634114
2019-01-05 22:07:00.822451,5.08,389.322444355,62.3141320988,-11.7111812792
2019-01-05 22:07:00.822545,5.12,391.815009639,61.8456848476,-11.6823332844
2019-01-05 22:07:00.822638,5.16,394.288837033,61.3783915162,-11.6537357742
2019-01-05 22:07:00.822766,5.2,396.743972693,60.9122420853,-11.6254509772
2019-01-05 22:07:00.822948,5.24,399.180462377,60.4472240462,-11.5974342843
2019-01-05 22:07:00.823075,5.28,401.598351339,59.9833266748,-11.5696808777
2019-01-05 22:07:00.823213,5.32,403.997684406,59.5205394397,-11.5422619995
2019-01-05 22:07:00.823316,5.36,406.378505983,59.0588489597,-11.5151058105
2019-01-05 22:07:00.823415,5.4,408.740859942,58.5982447273,-11.4882468932
2019-01-05 22:07:00.823513,5.44,411.084789731,58.1387148516,-11.4616710664
2019-01-05 22:07:00.823610,5.48,413.410338325,57.6802480089,-11.4353801669
2019-01-05 22:07:00.823706,5.52,415.717548245,57.2228328022,-11.409366809
2019-01-05 22:07:00.823802,5.56,418.006461557,56.7664581299,-11.3836614671
2019-01-05 22:07:00.823898,5.6,420.277119882,56.3111116712,-11.3582301019
2019-01-05 22:07:00.823992,5.64,422.529564349,55.8567824671,-11.3330830891
2019-01-05 22:07:00.824088,5.68,424.763835648,55.4034591436,-11.3082171701
2019-01-05 22:07:00.824183,5.72,426.979974014,54.9511304568,-11.2836381518
2019-01-05 22:07:00.824277,5.76,429.178019232,54.4997849307,-11.2593385673
2019-01-05 22:07:00.824373,5.8,431.358010629,54.049411388,-11.2353077219
2019-01-05 22:07:00.824467,5.84,433.519987085,53.5999990791,-11.2115773948
2019-01-05 22:07:00.824562,5.88,435.663987048,53.1515359833,-11.1881127768
2019-01-05 22:07:00.824656,5.92,437.790048487,52.7040114723,-11.1649233813
2019-01-05 22:07:00.824751,5.96,439.898208946,52.257414537,-11.1420090404
2019-01-05 22:07:00.824846,6.0,441.988505528,51.8117341754,-11.1193636956
2019-01-05 22:07:00.824940,6.04,444.060974895,51.3669596276,-11.0969547011
2019-01-05 22:07:00.825035,6.08,446.11565328,50.9230814395,-11.0748565428
2019-01-05 22:07:00.825130,6.12,448.152576537,50.4800871778,-11.0530478795
2019-01-05 22:07:00.825225,6.16,450.171780024,50.0379652626,-11.0314800518
2019-01-05 22:07:00.825321,6.2,452.173298635,49.5967060606,-11.0101703625
2019-01-05 22:07:00.825415,6.24,454.157166877,49.156299246,-10.9891120199
2019-01-05 22:07:00.825510,6.28,456.123418847,48.7167347653,-10.9683259591
2019-01-05 22:07:00.825605,6.32,458.072088238,48.2780017269,-10.9477967756
2019-01-05 22:07:00.825699,6.36,460.003208307,47.8400898559,-10.9275045134
2019-01-05 22:07:00.825795,6.4,461.916811901,47.4029896753,-10.9074887924
2019-01-05 22:07:00.825890,6.44,463.812931488,46.9666901236,-10.887713113
