PerfectFlite SLCF
Firmware: 1.0
Software: 1.16
Serial Number: 5241
Apogee: 5004' AGL
Ground Elevation: 1879' MSL
NumSamps: 2544
Flight Number: 11
Main Setting: 700' AGL
Apogee Delay: 0 Seconds
Drogue At: 17.75 Seconds
Main At: 91.20 Seconds
Max Drogue Current: 4 Amps
Max Main Current: 1 Amps

Time, Altitude, Velocity, Temperature, Voltage
85.65, 1028, -67, 84.54, 9.50
85.70, 1026, -65, 84.54, 9.50
85.75, 1024, -64, 84.54, 9.50
85.80, 1020, -61, 84.54, 9.50
85.85, 1018, -58, 84.54, 9.50
85.90, 1011, -54, 84.54, 9.50
85.95, 1008, -50, 84.54, 9.50
86.00, 1003, -47, 84.54, 9.50
86.05, 1000, -45, 84.54, 9.50
86.10, 1008, -46, 84.54, 9.50
86.15, 1019, -48, 84.54, 9.50
86.20, 1013, -51, 84.54, 9.50
86.25, 1005, -53, 84.54, 9.50
86.30, 1001, -55, 84.52, 9.50
86.35, 997, -57, 84.54, 9.50
86.40, 995, -58, 84.52, 9.50
86.45, 987, -58, 84.52, 9.50
86.50, 981, -57, 84.52, 9.50
86.55, 974, -55, 84.52, 9.50
86.60, 968, -53, 84.52, 9.50
86.65, 972, -50, 84.52, 9.50
86.70, 970, -48, 84.52, 9.50
86.75, 970, -48, 84.51, 9.50
86.80, 968, -48, 84.52, 9.50
86.85, 973, -51, 84.51, 9.50
86.90, 978, -53, 84.51, 9.40
86.95, 982, -55, 84.49, 9.50
87.00, 983, -57, 84.49, 9.50
87.05, 978, -58, 84.49, 9.50
87.10, 968, -58, 84.49, 9.50
87.15, 956, -60, 84.49, 9.50
87.20, 951, -61, 84.49, 9.40
87.25, 949, -62, 84.49, 9.50
87.30, 944, -63, 84.47, 9.50
87.35, 933, -63, 84.49, 9.50
87.40, 921, -63, 84.49, 9.50
87.45, 920, -61, 84.49, 9.50
87.50, 923, -59, 84.49, 9.50
87.55, 927, -57, 84.47, 9.50
87.60, 934, -56, 84.47, 9.50
87.65, 933, -56, 84.45, 9.40
87.70, 933, -57, 84.45, 9.50
87.75, 935, -59, 84.45, 9.50
87.80, 921, -63, 84.45, 9.50
87.85, 906, -67, 84.43, 9.50
87.90, 891, -71, 84.43, 9.50
87.95, 889, -75, 84.43, 9.50
88.00, 894, -77, 84.42, 9.50
88.05, 899, -77, 84.42, 9.50
88.10, 893, -74, 84.42, 9.50
88.15, 901, -69, 84.42, 9.50
88.20, 882, -65, 84.42, 9.50
88.25, 876, -60, 84.42, 9.50
88.30, 873, -55, 84.42, 9.50
88.35, 867, -51, 84.42, 9.50
88.40, 865, -49, 84.42, 9.50
88.45, 868, -50, 84.42, 9.50
88.50, 862, -54, 84.42, 9.50
88.55, 867, -60, 84.40, 9.50
88.60, 868, -67, 84.40, 9.50
88.65, 860, -72, 84.40, 9.40
88.70, 853, -76, 84.40, 9.50
88.75, 853, -77, 84.40, 9.50
88.80, 846, -74, 84.40, 9.50
88.85, 838, -71, 84.40, 9.50
88.90, 828, -68, 84.36, 9.50
88.95, 825, -67, 84.38, 9.50
89.00, 820, -67, 84.38, 9.50
89.05, 818, -68, 84.40, 9.50
89.10, 824, -68, 84.40, 9.50
89.15, 831, -67, 84.38, 9.50
89.20, 829, -64, 84.36, 9.50
89.25, 831, -62, 84.38, 9.50
89.30, 837, -60, 84.38, 9.50
89.35, 837, -59, 84.36, 9.50
89.40, 835, -59, 84.38, 9.50
89.45, 824, -60, 84.36, 9.50
89.50, 813, -62, 84.36, 9.50
89.55, 801, -63, 84.36, 9.40
89.60, 785, -63, 84.36, 9.50
89.65, 776, -63, 84.36, 9.50
89.70, 773, -62, 84.36, 9.50
89.75, 772, -61, 84.36, 9.50
89.80, 769, -60, 84.36, 9.50
89.85, 769, -59, 84.36, 9.50
89.90, 769, -57, 84.36, 9.50
89.95, 760, -56, 84.36, 9.50
90.00, 759, -56, 84.36, 9.50
90.05, 760, -57, 84.36, 9.50
90.10, 760, -59, 84.34, 9.50
90.15, 763, -62, 84.33, 9.50
90.20, 758, -64, 84.36, 9.40
90.25, 755, -68, 84.36, 9.50
90.30, 757, -71, 84.33, 9.50
90.35, 754, -73, 84.34, 9.50
90.40, 747, -75, 84.34, 9.50
90.45, 745, -74, 84.33, 9.50
90.50, 740, -72, 84.33, 9.50
90.55, 742, -69, 84.33, 9.50
90.60, 735, -65, 84.33, 9.50
90.65, 733, -62, 84.33, 9.50
90.70, 733, -60, 84.34, 9.50
90.75, 726, -59, 84.33, 9.50
90.80, 724, -59, 84.33, 9.50
90.85, 719, -60, 84.33, 9.50
90.90, 716, -61, 84.33, 9.50
90.95, 712, -62, 84.31, 9.50
91.00, 713, -63, 84.33, 9.50
91.05, 710, -65, 84.33, 9.50
91.10, 705, -67, 84.33, 9.50
91.15, 710, -69, 84.31, 9.40
91.20, 700, -70, 84.33, 9.40
91.25, 701, -69, 84.31, 9.50
91.30, 688, -67, 84.31, 9.50
91.35, 681, -65, 84.33, 9.50
91.40, 677, -64, 84.31, 9.50
91.45, 668, -64, 84.31, 9.50
91.50, 664, -65, 84.33, 9.50
91.55, 661, -67, 84.29, 9.50
91.60, 661, -68, 84.29, 9.50
91.65, 658, -70, 84.29, 9.50
91.70, 660, -72, 84.29, 9.50
91.75, 659, -73, 84.29, 9.50
91.80, 654, -73, 84.29, 9.50
91.85, 645, -72, 84.29, 9.50
91.90, 641, -71, 84.29, 9.50
91.95, 640, -68, 84.29, 9.50
92.00, 636, -66, 84.29, 9.50
92.05, 634, -65, 84.29, 9.50
92.10, 624, -63, 84.29, 9.50
92.15, 614, -64, 84.29, 9.50
92.20, 617, -64, 84.29, 9.50
92.25, 625, -65, 84.29, 9.50
92.30, 632, -64, 84.29, 9.50
92.35, 629, -64, 84.29, 9.50
92.40, 617, -62, 84.27, 9.50
92.45, 616, -61, 84.29, 9.50
92.50, 610, -60, 84.27, 9.50
92.55, 605, -60, 84.29, 9.50
92.60, 597, -61, 84.27, 9.50
92.65, 590, -63, 84.27, 9.40
92.70, 582, -65, 84.27, 9.50
92.75, 577, -66, 84.27, 9.50
92.80, 576, -68, 84.27, 9.50
92.85, 576, -69, 84.27, 9.50
92.90, 581, -69, 84.27, 9.50
92.95, 583, -69, 84.25, 9.50
93.00, 584, -67, 84.25, 9.50
93.05, 589, -64, 84.24, 9.50
93.10, 586, -61, 84.24, 9.50
93.15, 579, -60, 84.24, 9.50
93.20, 568, -60, 84.24, 9.50
93.25, 560, -62, 84.24, 9.50
93.30, 557, -64, 84.22, 9.50
93.35, 554, -65, 84.22, 9.50
93.40, 551, -64, 84.22, 9.50
93.45, 551, -61, 84.22, 9.50
93.50, 546, -58, 84.22, 9.50
93.55, 542, -56, 84.24, 9.50
93.60, 537, -53, 84.22, 9.50
93.65, 533, -52, 84.20, 9.40
93.70, 526, -51, 84.20, 9.50
93.75, 524, -51, 84.20, 9.50
93.80, 508, -51, 84.20, 9.50
93.85, 507, -52, 84.20, 9.50
93.90, 502, -53, 84.18, 9.50
93.95, 502, -55, 84.20, 9.50
94.00, 500, -57, 84.20, 9.50
94.05, 509, -58, 84.20, 9.50
94.10, 515, -58, 84.20, 9.50
94.15, 507, -56, 84.18, 9.40
94.20, 500, -53, 84.18, 9.50
94.25, 494, -50, 84.18, 9.50
94.30, 494, -48, 84.18, 9.50
94.35, 496, -47, 84.18, 9.50
94.40, 497, -46, 84.18, 9.50
94.45, 497, -45, 84.18, 9.50
94.50, 496, -43, 84.18, 9.50
94.55, 495, -42, 84.18, 9.40
94.60, 492, -40, 84.18, 9.50
94.65, 484, -37, 84.18, 9.50
94.70, 480, -35, 84.18, 9.50
94.75, 477, -32, 84.18, 9.50
94.80, 478, -30, 84.18, 9.50
94.85, 478, -28, 84.18, 9.50
94.90, 475, -27, 84.18, 9.50
94.95, 472, -28, 84.18, 9.50
95.00, 469, -29, 84.18, 9.50
95.05, 467, -30, 84.18, 9.50
95.10, 468, -30, 84.16, 9.50
95.15, 468, -30, 84.16, 9.50
95.20, 464, -29, 84.16, 9.50
95.25, 464, -28, 84.16, 9.40
95.30, 463, -27, 84.18, 9.50
95.35, 463, -27, 84.15, 9.40
95.40, 461, -28, 84.15, 9.50
95.45, 461, -28, 84.15, 9.50
95.50, 460, -28, 84.15, 9.50
95.55, 460, -27, 84.15, 9.50
95.60, 460, -27, 84.15, 9.50
95.65, 458, -25, 84.15, 9.50
95.70, 457, -24, 84.15, 9.50
95.75, 456, -23, 84.15, 9.50
95.80, 454, -23, 84.15, 9.50
95.85, 451, -22, 84.15, 9.50
95.90, 450, -22, 84.15, 9.40
95.95, 449, -21, 84.15, 9.50
96.00, 448, -20, 84.13, 9.50
96.05, 448, -20, 84.15, 9.50
96.10, 447, -20, 84.13, 9.50
96.15, 445, -20, 84.11, 9.50
96.20, 443, -20, 84.11, 9.50
96.25, 443, -21, 84.11, 9.50
96.30, 443, -20, 84.13, 9.50
96.35, 442, -20, 84.11, 9.50
96.40, 442, -21, 84.11, 9.50
96.45, 441, -21, 84.11, 9.50
96.50, 440, -21, 84.11, 9.50
96.55, 437, -22, 84.11, 9.50
96.60, 436, -22, 84.11, 9.40
96.65, 434, -23, 84.11, 9.50
96.70, 434, -23, 84.09, 9.50
96.75, 433, -22, 84.11, 9.50
96.80, 432, -22, 84.09, 9.50
96.85, 432, -22, 84.09, 9.50
96.90, 432, -21, 84.07, 9.50
96.95, 432, -21, 84.07, 9.40
97.00, 429, -22, 84.07, 9.50
97.05, 427, -22, 84.07, 9.50
97.10, 426, -22, 84.07, 9.50
97.15, 427, -22, 84.07, 9.50
97.20, 423, -22, 84.07, 9.50
97.25, 423, -22, 84.07, 9.50
97.30, 423, -22, 84.07, 9.50
97.35, 421, -23, 84.07, 9.50
97.40, 421, -23, 84.07, 9.50
97.45, 420, -23, 84.07, 9.50
97.50, 418, -23, 84.07, 9.50
97.55, 414, -23, 84.07, 9.50
97.60, 414, -22, 84.07, 9.50
97.65, 412, -22, 84.07, 9.50
97.70, 412, -22, 84.07, 9.50
97.75, 412, -22, 84.07, 9.50
97.80, 410, -23, 84.07, 9.50
97.85, 408, -23, 84.07, 9.50
97.90, 407, -23, 84.07, 9.50
97.95, 408, -24, 84.06, 9.50
98.00, 405, -24, 84.06, 9.50
98.05, 403, -24, 84.06, 9.50
98.10, 402, -24, 84.06, 9.50
98.15, 402, -23, 84.06, 9.50
98.20, 401, -23, 84.06, 9.50
98.25, 398, -23, 84.06, 9.40
98.30, 398, -23, 84.06, 9.50
98.35, 397, -23, 84.06, 9.50
98.40, 396, -23, 84.06, 9.50
98.45, 396, -23, 84.04, 9.50
98.50, 393, -23, 84.06, 9.50
98.55, 392, -23, 84.02, 9.50
98.60, 392, -23, 84.02, 9.50
98.65, 391, -23, 84.02, 9.40
98.70, 390, -23, 84.02, 9.50
98.75, 389, -23, 84.02, 9.50
98.80, 387, -23, 84.02, 9.50
98.85, 387, -23, 84.04, 9.50
98.90, 384, -23, 84.02, 9.50
98.95, 383, -22, 84.02, 9.50
99.00, 381, -22, 84.02, 9.50
99.05, 381, -22, 84.02, 9.50
99.10, 379, -22, 84.02, 9.50
99.15, 379, -22, 84.00, 9.50
99.20, 379, -22, 84.02, 9.40
99.25, 378, -22, 84.00, 9.50
99.30, 377, -22, 84.00, 9.50
99.35, 373, -22, 84.02, 9.50
99.40, 374, -22, 84.00, 9.50
99.45, 373, -22, 84.00, 9.50
99.50, 370, -22, 84.02, 9.50
99.55, 370, -22, 83.98, 9.50
99.60, 368, -22, 84.00, 9.50
99.65, 366, -22, 84.02, 9.50
99.70, 366, -22, 83.98, 9.50
99.75, 365, -22, 83.98, 9.50
99.80, 366, -22, 83.98, 9.50
99.85, 364, -21, 84.00, 9.50
99.90, 361, -21, 84.00, 9.50
99.95, 363, -21, 83.98, 9.50
100.00, 360, -21, 84.00, 9.50
100.05, 360, -21, 83.98, 9.50
100.10, 358, -21, 84.00, 9.50
100.15, 357, -21, 83.98, 9.50
100.20, 355, -21, 83.98, 9.50
100.25, 354, -21, 83.98, 9.50
100.30, 353, -21, 84.00, 9.50
100.35, 352, -21, 83.98, 9.50
100.40, 352, -21, 83.98, 9.40
100.45, 350, -21, 83.98, 9.50
100.50, 350, -21, 83.98, 9.50
100.55, 349, -21, 83.98, 9.50
100.60, 347, -21, 83.98, 9.50
100.65, 348, -21, 83.97, 9.50
100.70, 347, -21, 83.98, 9.50
100.75, 346, -21, 83.98, 9.50
100.80, 344, -21, 83.97, 9.50
100.85, 343, -21, 83.98, 9.50
100.90, 341, -21, 83.98, 9.40
100.95, 341, -21, 83.98, 9.40
101.00, 340, -21, 83.98, 9.50
101.05, 341, -21, 83.97, 9.50
101.10, 339, -21, 83.97, 9.50
101.15, 336, -21, 83.98, 9.50
101.20, 336, -21, 83.97, 9.50
101.25, 336, -21, 83.97, 9.50
101.30, 332, -21, 83.97, 9.50
101.35, 331, -21, 83.98, 9.50
101.40, 330, -21, 83.98, 9.50
101.45, 330, -21, 83.97, 9.50
101.50, 329, -21, 83.95, 9.50
101.55, 328, -21, 83.95, 9.50
101.60, 327, -22, 83.95, 9.50
101.65, 326, -22, 83.95, 9.50
101.70, 325, -22, 83.95, 9.50
101.75, 324, -22, 83.95, 9.50
101.80, 322, -22, 83.98, 9.50
101.85, 322, -22, 83.97, 9.50
101.90, 319, -22, 83.95, 9.50
101.95, 319, -22, 83.95, 9.50
102.00, 317, -22, 83.95, 9.50
102.05, 316, -23, 83.95, 9.50
102.10, 316, -23, 83.95, 9.50
102.15, 315, -23, 83.95, 9.50
102.20, 314, -23, 83.95, 9.50
102.25, 314, -23, 83.95, 9.50
102.30, 311, -23, 83.95, 9.50
102.35, 310, -22, 83.95, 9.50
102.40, 310, -22, 83.95, 9.50
102.45, 309, -22, 83.95, 9.50
102.50, 308, -22, 83.95, 9.50
102.55, 305, -22, 83.95, 9.40
102.60, 305, -22, 83.95, 9.50
102.65, 303, -22, 83.95, 9.40
102.70, 304, -22, 83.95, 9.50
102.75, 301, -22, 83.95, 9.50
102.80, 301, -22, 83.95, 9.50
102.85, 300, -22, 83.95, 9.40
102.90, 299, -22, 83.95, 9.50
102.95, 295, -22, 83.95, 9.50
103.00, 295, -22, 83.95, 9.50
103.05, 294, -22, 83.93, 9.50
103.10, 293, -22, 83.93, 9.50
103.15, 290, -22, 83.95, 9.50
103.20, 290, -22, 83.93, 9.50
103.25, 289, -22, 83.95, 9.50
103.30, 287, -22, 83.93, 9.50
103.35, 288, -22, 83.93, 9.50
103.40, 288, -22, 83.93, 9.50
103.45, 287, -21, 83.93, 9.50
103.50, 285, -21, 83.93, 9.50
103.55, 284, -21, 83.93, 9.50
103.60, 282, -21, 83.93, 9.50
103.65, 282, -21, 83.93, 9.50
103.70, 281, -22, 83.93, 9.50
103.75, 279, -22, 83.93, 9.50
103.80, 277, -22, 83.93, 9.50
103.85, 276, -22, 83.93, 9.50
103.90, 276, -21, 83.93, 9.50
103.95, 276, -21, 83.93, 9.50
104.00, 275, -21, 83.93, 9.50
104.05, 273, -21, 83.93, 9.50
104.10, 272, -21, 83.93, 9.50
104.15, 271, -20, 83.93, 9.50
104.20, 271, -20, 83.91, 9.50
104.25, 270, -20, 83.93, 9.50
104.30, 268, -21, 83.93, 9.50
104.35, 267, -21, 83.93, 9.50
104.40, 267, -21, 83.91, 9.50
104.45, 266, -22, 83.91, 9.50
104.50, 266, -21, 83.89, 9.50
104.55, 263, -21, 83.91, 9.50
104.60, 262, -21, 83.91, 9.50
104.65, 260, -21, 83.89, 9.50
104.70, 259, -21, 83.91, 9.40
104.75, 259, -21, 83.91, 9.50
104.80, 258, -21, 83.89, 9.50
104.85, 255, -21, 83.89, 9.50
104.90, 255, -21, 83.89, 9.50
104.95, 255, -21, 83.89, 9.40
105.00, 252, -21, 83.89, 9.50
105.05, 252, -21, 83.89, 9.50
105.10, 251, -21, 83.89, 9.50
105.15, 250, -21, 83.89, 9.50
105.20, 251, -21, 83.89, 9.50
105.25, 248, -21, 83.89, 9.50
105.30, 246, -22, 83.89, 9.50
105.35, 245, -22, 83.89, 9.50
105.40, 244, -22, 83.89, 9.50
105.45, 243, -22, 83.89, 9.50
105.50, 243, -22, 83.89, 9.50
105.55, 243, -22, 83.89, 9.50
105.60, 242, -22, 83.86, 9.50
105.65, 240, -22, 83.88, 9.50
105.70, 239, -22, 83.86, 9.50
105.75, 236, -22, 83.88, 9.50
105.80, 236, -22, 83.86, 9.40
105.85, 236, -22, 83.86, 9.50
105.90, 234, -22, 83.86, 9.50
105.95, 234, -22, 83.86, 9.50
106.00, 233, -22, 83.86, 9.50
106.05, 231, -22, 83.86, 9.50
106.10, 231, -22, 83.84, 9.50
106.15, 230, -22, 83.84, 9.50
106.20, 227, -22, 83.86, 9.50
106.25, 227, -22, 83.86, 9.50
106.30, 224, -21, 83.86, 9.50
106.35, 223, -21, 83.86, 9.40
106.40, 223, -21, 83.86, 9.50
106.45, 223, -22, 83.84, 9.50
106.50, 220, -22, 83.86, 9.50
106.55, 219, -22, 83.84, 9.50
106.60, 217, -22, 83.86, 9.50
106.65, 216, -21, 83.84, 9.50
106.70, 216, -21, 83.84, 9.40
106.75, 216, -21, 83.84, 9.50
106.80, 214, -20, 83.84, 9.50
106.85, 213, -20, 83.84, 9.50
106.90, 212, -20, 83.84, 9.50
106.95, 210, -21, 83.84, 9.50
107.00, 209, -21, 83.84, 9.50
107.05, 208, -21, 83.82, 9.50
107.10, 206, -21, 83.82, 9.50
107.15, 207, -21, 83.80, 9.50
107.20, 206, -21, 83.80, 9.50
107.25, 205, -21, 83.80, 9.50
107.30, 204, -21, 83.80, 9.50
107.35, 202, -21, 83.80, 9.50
107.40, 202, -21, 83.80, 9.50
107.45, 200, -21, 83.80, 9.50
107.50, 199, -21, 83.80, 9.50
107.55, 200, -20, 83.79, 9.50
107.60, 199, -20, 83.79, 9.50
107.65, 197, -20, 83.79, 9.50
107.70, 196, -20, 83.77, 9.50
107.75, 197, -20, 83.77, 9.50
107.80, 197, -20, 83.77, 9.50
107.85, 195, -19, 83.77, 9.50
107.90, 194, -19, 83.77, 9.50
107.95, 192, -19, 83.77, 9.50
108.00, 189, -19, 83.77, 9.40
108.05, 190, -19, 83.77, 9.50
108.10, 189, -19, 83.77, 9.50
108.15, 187, -19, 83.77, 9.50
108.20, 185, -19, 83.77, 9.50
108.25, 183, -19, 83.77, 9.50
108.30, 184, -18, 83.77, 9.50
108.35, 182, -18, 83.77, 9.50
108.40, 181, -18, 83.77, 9.50
108.45, 180, -18, 83.77, 9.50
108.50, 180, -18, 83.77, 9.50
108.55, 178, -19, 83.77, 9.50
108.60, 178, -19, 83.77, 9.50
108.65, 177, -20, 83.77, 9.50
108.70, 177, -20, 83.75, 9.50
108.75, 175, -20, 83.75, 9.50
108.80, 175, -21, 83.75, 9.50
108.85, 175, -21, 83.73, 9.40
108.90, 173, -20, 83.75, 9.50
108.95, 173, -20, 83.73, 9.50
109.00, 173, -20, 83.73, 9.50
109.05, 170, -20, 83.73, 9.50
109.10, 170, -19, 83.73, 9.50
109.15, 169, -19, 83.73, 9.50
109.20, 169, -19, 83.73, 9.50
109.25, 168, -18, 83.73, 9.50
109.30, 167, -18, 83.73, 9.50
109.35, 166, -18, 83.73, 9.40
109.40, 164, -18, 83.73, 9.50
109.45, 165, -18, 83.71, 9.50
109.50, 163, -18, 83.73, 9.50
109.55, 160, -18, 83.73, 9.50
109.60, 160, -18, 83.73, 9.50
109.65, 158, -18, 83.73, 9.50
109.70, 157, -18, 83.71, 9.50
109.75, 155, -18, 83.73, 9.50
109.80, 155, -18, 83.73, 9.50
109.85, 153, -18, 83.71, 9.40
109.90, 153, -18, 83.73, 9.50
109.95, 152, -19, 83.73, 9.50
110.00, 151, -19, 83.71, 9.50
110.05, 149, -19, 83.73, 9.50
110.10, 151, -19, 83.71, 9.50
110.15, 148, -19, 83.73, 9.50
110.20, 149, -19, 83.71, 9.50
110.25, 149, -19, 83.71, 9.50
110.30, 146, -19, 83.71, 9.50
110.35, 146, -19, 83.71, 9.50
110.40, 146, -19, 83.71, 9.50
110.45, 145, -19, 83.71, 9.50
110.50, 144, -18, 83.71, 9.50
110.55, 142, -18, 83.71, 9.50
110.60, 142, -18, 83.71, 9.50
110.65, 142, -17, 83.71, 9.50
110.70, 140, -17, 83.71, 9.50
110.75, 141, -17, 83.70, 9.50
110.80, 140, -17, 83.71, 9.50
110.85, 138, -17, 83.71, 9.50
110.90, 136, -17, 83.71, 9.50
110.95, 135, -17, 83.71, 9.50
111.00, 134, -17, 83.70, 9.50
111.05, 133, -18, 83.71, 9.50
111.10, 133, -18, 83.70, 9.50
111.15, 133, -18, 83.70, 9.50
111.20, 133, -18, 83.70, 9.50
111.25, 129, -18, 83.71, 9.40
111.30, 128, -18, 83.70, 9.50
111.35, 128, -18, 83.70, 9.50
111.40, 127, -18, 83.70, 9.50
111.45, 126, -18, 83.71, 9.50
111.50, 125, -18, 83.71, 9.50
111.55, 127, -18, 83.71, 9.50
111.60, 124, -18, 83.70, 9.50
111.65, 125, -18, 83.70, 9.50
111.70, 123, -18, 83.71, 9.50
111.75, 121, -18, 83.71, 9.50
111.80, 122, -18, 83.70, 9.50
111.85, 119, -18, 83.70, 9.50
111.90, 118, -17, 83.70, 9.50
111.95, 118, -17, 83.71, 9.50
112.00, 116, -17, 83.70, 9.50
112.05, 114, -17, 83.71, 9.50
112.10, 114, -17, 83.70, 9.50
112.15, 113, -17, 83.68, 9.50
112.20, 112, -18, 83.70, 9.50
112.25, 112, -17, 83.70, 9.50
112.30, 111, -17, 83.68, 9.50
112.35, 110, -17, 83.68, 9.50
112.40, 107, -18, 83.68, 9.50
112.45, 109, -18, 83.68, 9.40
112.50, 109, -18, 83.68, 9.50
112.55, 107, -18, 83.70, 9.50
112.60, 107, -18, 83.68, 9.50
112.65, 106, -18, 83.68, 9.50
112.70, 105, -18, 83.68, 9.50
112.75, 104, -17, 83.68, 9.50
112.80, 103, -17, 83.68, 9.50
112.85, 103, -17, 83.68, 9.50
112.90, 101, -18, 83.68, 9.50
112.95, 102, -18, 83.68, 9.50
113.00, 99, -18, 83.68, 9.50
113.05, 98, -18, 83.68, 9.50
113.10, 100, -18, 83.68, 9.50
113.15, 97, -18, 83.68, 9.50
113.20, 96, -18, 83.68, 9.50
113.25, 94, -18, 83.66, 9.40
113.30, 94, -18, 83.66, 9.50
113.35, 92, -18, 83.66, 9.50
113.40, 93, -18, 83.64, 9.50
113.45, 91, -18, 83.64, 9.50
113.50, 91, -19, 83.66, 9.50
113.55, 90, -19, 83.66, 9.40
113.60, 88, -19, 83.64, 9.50
113.65, 90, -19, 83.64, 9.50
113.70, 88, -19, 83.66, 9.50
113.75, 87, -19, 83.66, 9.50
113.80, 85, -19, 83.64, 9.50
113.85, 85, -19, 83.64, 9.50
113.90, 83, -19, 83.64, 9.50
113.95, 81, -19, 83.64, 9.50
114.00, 80, -19, 83.64, 9.50
114.05, 79, -19, 83.64, 9.50
114.10, 77, -19, 83.64, 9.50
114.15, 78, -19, 83.64, 9.50
114.20, 77, -19, 83.64, 9.50
114.25, 77, -19, 83.64, 9.50
114.30, 75, -19, 83.66, 9.50
114.35, 73, -19, 83.64, 9.50
114.40, 73, -19, 83.64, 9.50
114.45, 71, -19, 83.64, 9.50
114.50, 71, -19, 83.64, 9.50
114.55, 70, -19, 83.64, 9.50
114.60, 69, -19, 83.64, 9.50
114.65, 69, -19, 83.64, 9.50
114.70, 68, -20, 83.62, 9.50
114.75, 66, -20, 83.64, 9.50
114.80, 66, -20, 83.64, 9.50
114.85, 64, -20, 83.64, 9.50
114.90, 64, -20, 83.62, 9.50
114.95, 63, -20, 83.64, 9.50
115.00, 64, -20, 83.61, 9.50
115.05, 60, -20, 83.62, 9.50
115.10, 61, -20, 83.62, 9.50
115.15, 58, -20, 83.62, 9.50
115.20, 59, -21, 83.62, 9.50
115.25, 57, -21, 83.62, 9.50
115.30, 57, -21, 83.62, 9.50
115.35, 55, -21, 83.62, 9.50
115.40, 55, -21, 83.62, 9.50
115.45, 55, -21, 83.61, 9.50
115.50, 54, -21, 83.61, 9.50
115.55, 52, -21, 83.62, 9.50
115.60, 52, -21, 83.62, 9.50
115.65, 49, -21, 83.62, 9.50
115.70, 48, -21, 83.62, 9.50
115.75, 47, -21, 83.61, 9.40
115.80, 45, -21, 83.61, 9.50
115.85, 44, -21, 83.61, 9.50
115.90, 41, -21, 83.61, 9.50
115.95, 41, -21, 83.61, 9.50
116.00, 40, -21, 83.61, 9.50
116.05, 38, -21, 83.61, 9.50
116.10, 39, -21, 83.61, 9.50
116.15, 37, -21, 83.61, 9.50
116.20, 35, -21, 83.61, 9.50
116.25, 35, -22, 83.61, 9.50
116.30, 33, -22, 83.61, 9.50
116.35, 32, -22, 83.61, 9.50
116.40, 32, -22, 83.61, 9.40
116.45, 30, -23, 83.61, 9.50
116.50, 30, -23, 83.61, 9.50
116.55, 29, -23, 83.61, 9.50
116.60, 28, -23, 83.61, 9.50
116.65, 27, -23, 83.61, 9.40
116.70, 28, -23, 83.59, 9.50
116.75, 25, -22, 83.61, 9.50
116.80, 24, -22, 83.59, 9.50
116.85, 23, -22, 83.59, 9.50
116.90, 21, -22, 83.59, 9.50
116.95, 20, -21, 83.59, 9.50
117.00, 20, -21, 83.59, 9.50
117.05, 18, -21, 83.59, 9.50
117.10, 18, -21, 83.59, 9.50
117.15, 16, -21, 83.59, 9.50
117.20, 15, -21, 83.59, 9.50
117.25, 15, -20, 83.59, 9.50
117.30, 14, -20, 83.59, 9.50
117.35, 11, -20, 83.59, 9.50
117.40, 11, -20, 83.59, 9.50
117.45, 9, -20, 83.59, 9.50
117.50, 7, -20, 83.59, 9.50
117.55, 6, -20, 83.57, 9.50
117.60, 4, -20, 83.59, 9.50
117.65, 3, -20, 83.59, 9.50
117.70, 3, -20, 83.57, 9.50
117.75, 3, -20, 83.55, 9.50
117.80, 1, -20, 83.57, 9.50
117.85, -1, -20, 83.55, 9.50
117.90, 0, -19, 83.57, 9.50
117.95, -2, -19, 83.55, 9.50
118.00, -2, -19, 83.57, 9.50
118.05, -3, -19, 83.55, 9.50
118.10, -4, -18, 83.57, 9.50
118.15, -5, -18, 83.57, 9.50
118.20, -5, -17, 83.57, 9.50
118.25, -6, -17, 83.57, 9.50
118.30, -6, -16, 83.57, 9.50
118.35, -8, -15, 83.55, 9.50
118.40, -9, -15, 83.57, 9.50
118.45, -10, -14, 83.55, 9.50
118.50, -10, -13, 83.57, 9.50
118.55, -11, -12, 83.55, 9.50
118.60, -13, -11, 83.57, 9.50
118.65, -12, -11, 83.55, 9.50
118.70, -14, -10, 83.55, 9.50
118.75, -13, -10, 83.55, 9.50
118.80, -20, -10, 83.55, 9.50
118.85, -13, -9, 83.55, 9.50
118.90, -17, -9, 83.55, 9.50
118.95, -17, -9, 83.55, 9.40
119.00, -20, -8, 83.55, 9.50
119.05, -17, -8, 83.55, 9.40
119.10, -19, -7, 83.55, 9.50
119.15, -19, -7, 83.55, 9.50
119.20, -18, -7, 83.55, 9.50
119.25, -19, -6, 83.55, 9.50
119.30, -19, -6, 83.55, 9.50
119.35, -17, -6, 83.52, 9.50
119.40, -18, -5, 83.53, 9.50
119.45, -17, -5, 83.52, 9.50
119.50, -17, -4, 83.52, 9.50
119.55, -19, -4, 83.55, 9.50
119.60, -17, -3, 83.52, 9.50
119.65, -17, -2, 83.52, 9.40
119.70, -18, -2, 83.52, 9.50
119.75, -17, -2, 83.52, 9.50
119.80, -18, -1, 83.52, 9.50
119.85, -18, -1, 83.52, 9.50
119.90, -19, -1, 83.53, 9.50
119.95, -19, -0, 83.52, 9.50
120.00, -18, 0, 83.52, 9.40
120.05, -17, 0, 83.52, 9.50
