Time	Altitude	Temperature	Voltage
8.9	3551	86.5F	9.4
8.95	3564	86.5F	9.4
9	3578	86.5F	9.4
9.05	3595	86.5F	9.4
9.1	3609	86.5F	9.4
9.15	3623	86.5F	9.4
9.2	3638	86.5F	9.4
9.25	3652	86.5F	9.4
9.3	3665	86.5F	9.4
9.35	3680	86.5F	9.4
9.4	3694	86.5F	9.4
9.45	3707	86.5F	9.4
9.5	3720	86.5F	9.4
9.55	3736	86.5F	9.4
9.6	3749	86.5F	9.4
9.65	3763	86.5F	9.4
9.7	3777	86.5F	9.4
9.75	3789	86.5F	9.4
9.8	3802	86.5F	9.4
9.85	3814	86.5F	9.4
9.9	3829	86.5F	9.4
9.95	3841	86.5F	9.4
10	3854	86.5F	9.4
10.05	3866	86.5F	9.4
10.1	3880	86.5F	9.4
10.15	3891	86.5F	9.4
10.2	3905	86.5F	9.4
10.25	3916	86.5F	9.4
10.3	3929	86.5F	9.4
10.35	3942	86.5F	9.4
10.4	3953	86.5F	9.4
10.45	3965	86.5F	9.4
10.5	3975	86.5F	9.4
10.55	3988	86.5F	9.4
10.6	4000	86.5F	9.4
10.65	4012	86.5F	9.4
10.7	4025	86.5F	9.4
10.75	4035	86.5F	9.4
10.8	4046	86.5F	9.4
10.85	4058	86.5F	9.4
10.9	4070	86.5F	9.4
10.95	4081	86.5F	9.4
11	4092	86.5F	9.4
11.05	4103	86.5F	9.4
11.1	4112	86.5F	9.4
11.15	4124	86.5F	9.4
11.2	4135	86.5F	9.4
11.25	4145	86.5F	9.4
11.3	4155	86.5F	9.4
11.35	4164	86.5F	9.4
11.4	4175	86.5F	9.4
11.45	4186	86.5F	9.4
11.5	4196	86.5F	9.4
11.55	4207	86.5F	9.4
11.6	4217	86.5F	9.4
11.65	4226	86.5F	9.4
11.7	4237	86.5F	9.4
11.75	4246	86.5F	9.4
11.8	4256	86.5F	9.4
11.85	4266	86.5F	9.4
11.9	4275	86.5F	9.4
11.95	4285	86.5F	9.4
12	4294	86.5F	9.4
12.05	4305	86.5F	9.4
12.1	4311	86.5F	9.4
12.15	4322	86.5F	9.4
12.2	4330	86.5F	9.4
12.25	4340	86.5F	9.4
12.3	4348	86.5F	9.4
12.35	4357	86.5F	9.4
12.4	4365	86.5F	9.4
12.45	4373	86.5F	9.4
12.5	4382	86.5F	9.4
12.55	4389	86.5F	9.4
12.6	4399	86.5F	9.4
12.65	4407	86.5F	9.4
12.7	4414	86.5F	9.4
12.75	4424	86.5F	9.4
12.8	4431	86.5F	9.4
12.85	4438	86.5F	9.4
12.9	4447	86.5F	9.4
12.95	4453	86.5F	9.4
13	4461	86.5F	9.4
13.05	4468	86.5F	9.4
13.1	4476	86.5F	9.4
13.15	4483	86.5F	9.4
13.2	4491	86.5F	9.4
13.25	4497	86.5F	9.4
13.3	4505	86.5F	9.4
13.35	4512	86.5F	9.4
13.4	4519	86.5F	9.4
13.45	4526	86.5F	9.4
13.5	4532	86.5F	9.4
13.55	4537	86.5F	9.4
13.6	4545	86.5F	9.4
13.65	4551	86.5F	9.4
13.7	4558	86.5F	9.4
13.75	4565	86.5F	9.4
13.8	4571	86.5F	9.4
13.85	4577	86.5F	9.4
13.9	4583	86.5F	9.4
13.95	4590	86.5F	9.4
14	4594	86.5F	9.4
14.05	4601	86.5F	9.4
14.1	4607	86.5F	9.4
14.15	4612	86.5F	9.4
14.2	4617	86.5F	9.4
14.25	4625	86.5F	9.4
14.3	4629	86.5F	9.4
14.35	4634	86.5F	9.4
14.4	4639	86.5F	9.4
14.45	4645	86.5F	9.4
14.5	4650	86.5F	9.4
14.55	4654	86.5F	9.4
14.6	4660	86.5F	9.4
14.65	4665	86.5F	9.4
14.7	4670	86.5F	9.4
14.75	4675	86.5F	9.4
14.8	4678	86.5F	9.4
14.85	4684	86.5F	9.4
14.9	4688	86.5F	9.4
14.95	4694	86.5F	9.4
15	4697	86.5F	9.4
15.05	4702	86.5F	9.4
15.1	4705	86.5F	9.4
15.15	4709	86.5F	9.4
15.2	4714	86.5F	9.4
15.25	4719	86.5F	9.4
15.3	4721	86.5F	9.4
15.35	4726	86.5F	9.4
15.4	4728	86.5F	9.4
15.45	4733	86.5F	9.4
15.5	4736	86.5F	9.4
15.55	4740	86.5F	9.4
15.6	4742	86.5F	9.4
15.65	4746	86.5F	9.4
15.7	4749	86.5F	9.4
15.75	4753	86.5F	9.4
15.8	4756	86.5F	9.4
15.85	4759	86.5F	9.4
15.9	4763	86.5F	9.4
15.95	4763	86.5F	9.4
16	4765	86.5F	9.4
16.05	4769	86.5F	9.4
16.1	4774	86.5F	9.4
16.15	4774	86.5F	9.4
16.2	4777	86.5F	9.4
16.25	4780	86.5F	9.4
16.3	4781	86.5F	9.4
16.35	4784	86.5F	9.4
16.4	4786	86.5F	9.4
16.45	4788	86.5F	9.4
16.5	4790	86.5F	9.4
16.55	4791	86.5F	9.4
16.6	4794	86.5F	9.4
