PerfectFlite SLCF				
Firmware: 1.0				
Software: 1.16				
Serial Number: 5241				
Apogee: 4823' AGL				
Ground Elevation: 605' MSL				
NumSamps: 2432				
Flight Number: 12				
Main Setting: 700' AGL				
Apogee Delay: 0 Seconds				
Drogue At: 17.50 Seconds				
Main At: 85.90 Seconds				
Max Drogue Current: 5 Amps				
Max Main Current: 0 Amps				
Comments: 				
				
				
Data: (Time	 Altitude	 Velocity	 Temperature (F)	 Voltage)
114.75	18	-17	86.11	9.4
114.8	17	-17	86.11	9.4
114.85	17	-17	86.09	9.4
114.9	16	-17	86.11	9.4
114.95	15	-18	86.11	9.4
115	14	-18	86.11	9.4
115.05	13	-18	86.09	9.4
115.1	14	-17	86.09	9.4
115.15	10	-16	86.11	9.4
115.2	10	-16	86.09	9.4
115.25	6	-15	86.11	9.4
115.3	8	-15	86.05	9.4
115.35	6	-15	86.11	9.4
115.4	4	-14	86.09	9.4
115.45	2	-14	86.09	9.4
115.5	0	-13	86.09	9.4
115.55	0	-13	86.09	9.4
115.6	-5	-12	86.05	9.4
115.65	5	-12	86.05	9.4
115.7	1	-12	86.05	9.4
115.75	0	-11	86.05	9.4
115.8	-1	-11	86.09	9.4
115.85	-2	-11	86.05	9.4
115.9	-3	-10	86.05	9.4
115.95	-5	-10	86.05	9.4
116	-5	-9	86.09	9.4
116.05	-5	-9	86.05	9.4
116.1	-5	-8	86.05	9.4
116.15	-4	-8	86.05	9.4
116.2	-3	-7	86.05	9.4
116.25	-4	-7	86.09	9.4
116.3	-5	-6	86.05	9.4
116.35	-4	-5	86.05	9.4
116.4	-5	-5	86.05	9.4
116.45	-4	-4	86.04	9.4
116.5	-5	-3	86.05	9.4
116.55	-4	-2	86.05	9.4
116.6	-4	-2	86.05	9.4
116.65	-5	-2	86.04	9.4
116.7	-5	-2	86.04	9.4
116.75	-5	-2	86.05	9.4
116.8	-3	-2	86.04	9.4
116.85	-4	-1	86.04	9.4
116.9	-5	0	86.05	9.4
116.95	-2	0	86.04	9.4
117	-4	0	86.04	9.4
117.05	-5	0	86.04	9.4
117.1	-5	0	86.04	9.4
117.15	-5	0	86.05	9.4
117.2	-4	0	86.04	9.4
117.25	-5	0	86.04	9.4
117.3	-5	0	86.05	9.4
117.35	-6	0	86.05	9.4
117.4	-5	0	86.04	9.4
117.45	-5	0	86.04	9.4
117.5	-4	0	86.04	9.4
117.55	-4	0	86.04	9.4
117.6	-5	0	86.05	9.4
117.65	-3	0	86.04	9.4
117.7	-4	0	86.04	9.4
117.75	-4	0	86.04	9.4
117.8	-4	0	86.04	9.4
117.85	-4	0	86.04	9.4
117.9	-3	0	86.04	9.4
117.95	-5	0	86.04	9.4
118	-4	0	86.04	9.4
118.05	-4	0	86.04	9.4
118.1	-5	0	86.04	9.4
118.15	-5	0	86.05	9.4
118.2	-4	0	86.04	9.4
118.25	-5	0	86.04	9.4
118.3	-4	0	86.04	9.4
118.35	-4	0	86.04	9.4
118.4	-4	0	86.04	9.4
118.45	-3	0	86.04	9.4
118.5	-5	0	86.04	9.4
118.55	-5	0	86.04	9.4
118.6	-4	0	86.04	9.4
118.65	-5	0	86.04	9.4
118.7	-4	0	86.04	9.4
118.75	-4	0	86.04	9.4
118.8	-5	0	86.04	9.4
118.85	-4	0	86.04	9.4
118.9	-3	0	86.04	9.4
118.95	-3	0	86.04	9.4
119	-4	0	86.04	9.4
119.05	-5	0	86.04	9.4
119.1	-4	0	86.04	9.4
119.15	-5	0	86.04	9.4
119.2	-4	0	86.04	9.4
119.25	-5	0	86.04	9.4
119.3	-5	0	86.04	9.4
119.35	-4	0	86.04	9.4
119.4	-4	0	86.04	9.4
119.45	-4	0	86.04	9.4
119.5	-5	0	86.04	9.4
119.55	-5	0	86.04	9.4
119.6	-4	0	86.04	9.4
119.65	-5	0	86.04	9.4
119.7	-5	0	86.04	9.4
119.75	-3	0	86.04	9.4
119.8	-3	0	86.04	9.4
119.85	-5	0	86.04	9.4
119.9	-3	0	86.04	9.4
119.95	-5	0	86.04	9.4
120	-4	0	86.04	9.4
120.05	-5	0	86.04	9.4
120.1	-3	0	86.04	9.4
120.15	-4	0	86.04	9.4
120.2	-4	0	86.04	9.4
120.25	-4	0	86.04	9.4
120.3	-3	0	86.04	9.4
120.35	-5	0	86.04	9.4
120.4	-5	0	86.04	9.4
120.45	-5	0	86.04	9.4
120.5	-4	-1	86.04	9.4
120.55	-5	-1	86.04	9.4
120.6	-4	-2	86.04	9.4
120.65	-5	-2	86.04	9.4
120.7	-5	-1	86.04	9.4
120.75	-5	-1	86.04	9.4
120.8	-5	0	86.04	9.4
120.85	-4	1	86.04	9.4
120.9	-5	1	86.04	9.4
120.95	-5	1	86.04	9.4
121	-4	1	86.04	9.4
121.05	-5	1	86.02	9.4
121.1	-4	0	86.04	9.4
121.15	-4	0	86.04	9.4
121.2	-5	0	86.04	9.4
121.25	-4	0	86.04	9.4
121.3	-4	0	86.02	9.4
121.35	-4	0	86.04	9.4
121.4	-4	0	86.04	9.4
121.45	-3	0	86.02	9.4
121.5	-5	0	86.04	9.4
121.55	-5	0	86.04	9.4
